	Item	last Owls value
0	#1 Fan Room Background	
1	10th Birthday Balloon Garland	
2	15th Birthday Grey Day Background	
3	15th Birthday Kiko Lake Background	
4	15th Birthday Mystery Island Background	
5	15th Birthday Roo Island Background	
6	15th Birthday Tyrannia Background	
7	2010 Daily Dare Gold Medal	
8	2010 Games Master Challenge NC Challenge Lulu Shirt	
9	3rd Birthday Garland	
10	7th Birthday Cake Slice #1	5-6
11	7th Birthday Cake Slice #2	
12	7th Birthday Cake Slice #3	1-2
13	8-Bit Heart Wings	
14	8th Birthday Rainbow Cupcake	
15	8th Birthday Sparkler Cupcake	4-6
16	8th Birthday Tied with a Bow Cupcake	2-3
17	A Day at the Aquarium	
18	A Haunting Path Background	4-5
19	A Heros Welcome Background	
20	A Night of Trick or Treating	2-3
21	A Rainbow of Petpets Tree	3
22	A Rolling Fog 	
23	A Summer Splash Background	
24	A Warm Winters Night Background	1-2
25	A Whimsical Dreamland	1-2
26	AAA Thought Bubble	
27	AAAs Room Background	
28	Abandoned Romantic Setting Background	
29	Abigail Thought Bubble	
30	Abigails Custom Drawn Dreamy Hanso Diary	
31	Abigails Room Background	
32	Abominable Snowball Bopper	
33	Abominable Snowball Winter Sleeper	
34	Aboogala Web Wrap	
35	Abstract Art	
36	Abstract Print Summer Scarf	
37	Abundant Heart Dress	1-2
38	Accessories Shop Dress	
39	Accessories Shop Wig and Hat	
40	Achyfi Thought Bubble	
41	Acorn Earrings	
42	Acorn Hat	
43	Across the Horizon Background	
44	Adee Wig	
45	Adorable Curly Baby Wig	1-2
46	Adorable Florg Foreground	
47	Adorable Freckles  	
48	Adorable Pandaphant Purse	
49	Adorable Pink Heart Wig	1-2
50	Adorable Short Sleeved Shirt with Hearts	
51	Adorable Wonderland Shoes and Tights	
52	Adorable Yellow Mallard Float Ring	
53	Advent Calendar Background	
54	Advent Calendar Studio Background	
55	Advent Calendar Y20 Frame	
56	Advent Calendar Y22 Frame	
57	Advent Calendar Y23 Frame 	
58	Adventure Helmet	
59	Adventure in Pastel Boots	1-2
60	Adventure in Pastel Fitted Top	
61	Adventure in Pastel Hat and Wig	1-2
62	Adventure Map Wings	
63	Adventure Shirt	
64	Adventure Trousers	
65	Adventuring Lulu Standee	
66	Adventurous Parasailor	
67	Aethias Collectors Shield	
68	Affluent Banker Shirt and Jacket	
69	Air Faerie Bubble Necklace 	
70	Air Faerie Columns	
71	Aisheenas Collectors Wig	
72	Albot Helmet with Goggles	
73	Alien Abduction Background	
74	All Hallows Eve Backdrop	
75	All Wrapped Up	
76	Altador Altador Cup Jersey	
77	Altador Altador Cup Locker Room Background	
78	Altador Altador Cup Team Spirit Banners	
79	Altador Castle Wall Foreground	
80	Altador Colosseum Background	
81	Altador Courier Bag	
82	Altador Cup Banner Skirt	
83	Altador Cup Binoculars Staff	
84	Altador Cup Cheerleader Baton	
85	Altador Cup Cheerleader Bench Background	
86	Altador Cup Cheerleader Dress	
87	Altador Cup Cheerleader Laurel Wig	1-2
88	Altador Cup Clothesline	
89	Altador Cup Confetti Shower	
90	Altador Cup Darigan Locker Room Background	
91	Altador Cup Display Case	
92	Altador Cup Dressing Room Background	
93	Altador Cup Face Paint	
94	Altador Cup Fan Shirt Dress	
95	Altador Cup Flag Cape	
96	Altador Cup Flag Garland	
